k_line,orient_line,coor_x_1,coor_y_1,coor_x_2,coor_y_2
40,1,-20.5346749523184,-7.03127018866641,10.3,-7.03127018866641
41,1,-20.5346749523184,-6.93127018866641,10.3,-6.93127018866641
42,1,-20.5346749523184,-6.83127018866641,10.3,-6.83127018866641
43,1,-20.5346749523184,-6.73127018866641,10.3,-6.73127018866641
44,1,-20.5346749523184,-6.63127018866641,10.3,-6.63127018866641
45,1,-20.5346749523184,-6.53127018866641,10.3,-6.53127018866641
46,1,-20.5346749523184,-6.43127018866641,10.3,-6.43127018866641
47,1,-20.5346749523184,-6.33127018866641,10.3,-6.33127018866641
48,1,-20.5346749523184,-6.23127018866641,10.3,-6.23127018866641
49,1,-20.5346749523184,-6.13127018866641,10.3,-6.13127018866641
50,1,-20.5346749523184,-6.03127018866641,10.3,-6.03127018866641
51,1,-20.5346749523184,-5.93127018866641,10.3,-5.93127018866641
52,1,-20.5346749523184,-5.83127018866641,10.3,-5.83127018866641
53,1,-20.5346749523184,-5.73127018866641,10.3,-5.73127018866641
54,1,-20.5346749523184,-5.63127018866641,10.3,-5.63127018866641
55,1,-20.5346749523184,-5.53127018866641,10.3,-5.53127018866641
56,1,-20.5346749523184,-5.43127018866641,10.3,-5.43127018866641
57,1,-20.5346749523184,-5.33127018866641,10.3,-5.33127018866641
58,1,-20.5346749523184,-5.23127018866641,10.3,-5.23127018866641
59,1,-20.5346749523184,-5.13127018866641,10.3,-5.13127018866641
60,1,-20.5346749523184,-5.03127018866641,10.3,-5.03127018866641
61,1,-20.5346749523184,-4.93127018866641,10.3,-4.93127018866641
62,1,-20.5346749523184,-4.83127018866641,10.3,-4.83127018866641
63,1,-20.5346749523184,-4.73127018866641,10.3,-4.73127018866641
64,1,-20.5346749523184,-4.63127018866641,10.3,-4.63127018866641
65,1,-20.5346749523184,-4.53127018866641,10.3,-4.53127018866641
66,1,-20.5346749523184,-4.43127018866641,10.3,-4.43127018866641
67,1,-20.5346749523184,-4.33127018866641,10.3,-4.33127018866641
68,1,-20.5346749523184,-4.23127018866641,10.3,-4.23127018866641
69,1,-20.5346749523184,-4.13127018866641,10.3,-4.13127018866641
70,1,-20.5346749523184,-4.03127018866641,10.3,-4.03127018866641
71,1,-20.5346749523184,-3.93127018866641,10.3,-3.93127018866641
72,1,-20.5346749523184,-3.83127018866641,10.3,-3.83127018866641
73,1,-20.5346749523184,-3.73127018866641,10.3,-3.73127018866641
74,1,-20.5346749523184,-3.63127018866641,10.3,-3.63127018866641
75,1,-20.5346749523184,-3.53127018866641,10.3,-3.53127018866641
76,1,-20.5346749523184,-3.43127018866641,10.3,-3.43127018866641
77,1,-20.5346749523184,-3.33127018866641,10.3,-3.33127018866641
78,1,-20.5346749523184,-3.23127018866641,10.3,-3.23127018866641
79,1,-20.5346749523184,-3.13127018866641,10.3,-3.13127018866641
80,1,-20.5346749523184,-3.03127018866641,10.3,-3.03127018866641
81,1,-20.5346749523184,-2.93127018866641,10.3,-2.93127018866641
82,1,-20.5346749523184,-2.83127018866641,10.3,-2.83127018866641
83,1,-20.5346749523184,-2.73127018866641,10.3,-2.73127018866641
84,1,-20.5346749523184,-2.63127018866641,10.3,-2.63127018866641
85,1,-20.5346749523184,-2.53127018866641,10.3,-2.53127018866641
86,1,-20.5346749523184,-2.43127018866641,10.3,-2.43127018866641
87,1,-20.5346749523184,-2.33127018866641,10.3,-2.33127018866641
88,1,-20.5346749523184,-2.23127018866641,10.3,-2.23127018866641
89,1,-20.5346749523184,-2.13127018866641,10.3,-2.13127018866641
90,1,-20.5346749523184,-2.03127018866641,10.3,-2.03127018866641
91,1,-20.5346749523184,-1.93127018866641,10.3,-1.93127018866641
92,1,-20.5346749523184,-1.83127018866641,10.3,-1.83127018866641
93,1,-20.5346749523184,-1.73127018866641,10.3,-1.73127018866641
94,1,-20.5346749523184,-1.63127018866641,10.3,-1.63127018866641
95,1,-20.5346749523184,-1.53127018866641,10.3,-1.53127018866641
96,1,-20.5346749523184,-1.43127018866641,10.3,-1.43127018866641
97,1,-20.5346749523184,-1.33127018866641,10.3,-1.33127018866641
98,1,-20.5346749523184,-1.23127018866641,10.3,-1.23127018866641
99,1,-20.5346749523184,-1.13127018866641,10.3,-1.13127018866641
100,1,-20.5346749523184,-1.03127018866641,10.3,-1.03127018866641
101,1,-20.5346749523184,-0.93127018866641,10.3,-0.93127018866641
102,1,-20.5346749523184,-0.83127018866641,10.3,-0.83127018866641
103,1,-20.5346749523184,-0.731270188666411,10.3,-0.731270188666411
104,1,-20.5346749523184,-0.631270188666411,10.3,-0.631270188666411
105,1,-20.5346749523184,-0.531270188666412,10.3,-0.531270188666412
106,1,-20.5346749523184,-0.43127018866641,10.3,-0.43127018866641
107,1,-20.5346749523184,-0.33127018866641,10.3,-0.33127018866641
108,1,-20.5346749523184,-0.231270188666411,10.3,-0.231270188666411
109,1,-20.5346749523184,-0.131270188666411,10.3,-0.131270188666411
110,1,-20.5346749523184,-0.0312701886664115,10.3,-0.0312701886664115
111,1,-20.5346749523184,0.0687298113335899,10.3,0.0687298113335899
112,1,-20.5346749523184,0.16872981133359,10.3,0.16872981133359
113,1,-20.5346749523184,0.268729811333589,10.3,0.268729811333589
114,1,-20.5346749523184,0.368729811333589,10.3,0.368729811333589
115,1,-20.5346749523184,0.468729811333588,10.3,0.468729811333588
116,1,-20.5346749523184,0.56872981133359,10.3,0.56872981133359
117,1,-20.5346749523184,0.66872981133359,10.3,0.66872981133359
118,1,-20.5346749523184,0.768729811333589,10.3,0.768729811333589
119,1,-20.5346749523184,0.868729811333589,10.3,0.868729811333589
120,1,-20.5346749523184,0.968729811333588,10.3,0.968729811333588
121,1,-20.5346749523184,1.06872981133359,10.3,1.06872981133359
122,1,-20.5346749523184,1.16872981133359,10.3,1.16872981133359
123,1,-20.5346749523184,1.26872981133359,10.3,1.26872981133359
124,1,-20.5346749523184,1.36872981133359,10.3,1.36872981133359
125,1,-20.5346749523184,1.46872981133359,10.3,1.46872981133359
126,1,-20.5346749523184,1.56872981133359,10.3,1.56872981133359
127,1,-20.5346749523184,1.66872981133359,10.3,1.66872981133359
128,1,-20.5346749523184,1.76872981133359,10.3,1.76872981133359
129,1,-20.5346749523184,1.86872981133359,10.3,1.86872981133359
130,1,-20.5346749523184,1.96872981133359,10.3,1.96872981133359
131,1,-20.5346749523184,2.06872981133359,10.3,2.06872981133359
132,1,-20.5346749523184,2.16872981133359,10.3,2.16872981133359
133,1,-20.5346749523184,2.26872981133359,10.3,2.26872981133359
134,1,-20.5346749523184,2.36872981133359,10.3,2.36872981133359
135,1,-20.5346749523184,2.46872981133359,10.3,2.46872981133359
136,1,-20.5346749523184,2.56872981133359,10.3,2.56872981133359
137,1,-20.5346749523184,2.66872981133359,10.3,2.66872981133359
138,1,-20.5346749523184,2.76872981133359,10.3,2.76872981133359
139,1,-20.5346749523184,2.86872981133359,10.3,2.86872981133359
140,1,-20.5346749523184,2.96872981133359,10.3,2.96872981133359
141,1,-20.5346749523184,3.06872981133359,10.3,3.06872981133359
142,1,-20.5346749523184,3.16872981133359,10.3,3.16872981133359
143,1,-20.5346749523184,3.26872981133359,10.3,3.26872981133359
144,1,-20.5346749523184,3.36872981133359,10.3,3.36872981133359
145,1,-20.5346749523184,3.46872981133359,10.3,3.46872981133359
146,1,-20.5346749523184,3.56872981133359,10.3,3.56872981133359
147,1,-20.5346749523184,3.66872981133359,10.3,3.66872981133359
148,1,-20.5346749523184,3.76872981133359,10.3,3.76872981133359
149,1,-20.5346749523184,3.86872981133359,10.3,3.86872981133359
150,1,-20.5346749523184,3.96872981133359,10.3,3.96872981133359
151,1,-20.5346749523184,4.06872981133359,10.3,4.06872981133359
152,1,-20.5346749523184,4.16872981133359,10.3,4.16872981133359
153,1,-20.5346749523184,4.26872981133359,10.3,4.26872981133359
154,1,-20.5346749523184,4.36872981133359,10.3,4.36872981133359
155,1,-20.5346749523184,4.46872981133359,10.3,4.46872981133359
156,1,-20.5346749523184,4.56872981133359,10.3,4.56872981133359
157,1,-20.5346749523184,4.66872981133359,10.3,4.66872981133359
158,1,-20.5346749523184,4.76872981133359,10.3,4.76872981133359
159,1,-20.5346749523184,4.86872981133359,10.3,4.86872981133359
160,1,-20.5346749523184,4.96872981133359,10.3,4.96872981133359
161,1,-20.5346749523184,5.06872981133359,10.3,5.06872981133359
162,1,-20.5346749523184,5.16872981133359,10.3,5.16872981133359
163,1,-20.5346749523184,5.26872981133359,10.3,5.26872981133359
164,1,-20.5346749523184,5.36872981133359,10.3,5.36872981133359
165,1,-20.5346749523184,5.46872981133359,10.3,5.46872981133359
166,1,-20.5346749523184,5.56872981133359,10.3,5.56872981133359
167,1,-20.5346749523184,5.66872981133359,10.3,5.66872981133359
168,1,-20.5346749523184,5.76872981133359,10.3,5.76872981133359
169,1,-20.5346749523184,5.86872981133359,10.3,5.86872981133359
170,1,-20.5346749523184,5.96872981133359,10.3,5.96872981133359
171,1,-20.5346749523184,6.06872981133359,10.3,6.06872981133359
172,1,-20.5346749523184,6.16872981133359,10.3,6.16872981133359
173,1,-20.5346749523184,6.26872981133359,10.3,6.26872981133359
174,1,-20.5346749523184,6.36872981133359,10.3,6.36872981133359
175,1,-20.5346749523184,6.46872981133359,10.3,6.46872981133359
176,1,-20.5346749523184,6.56872981133359,10.3,6.56872981133359
177,1,-20.5346749523184,6.66872981133359,10.3,6.66872981133359
178,1,-20.5346749523184,6.76872981133359,10.3,6.76872981133359
179,1,-20.5346749523184,6.86872981133359,10.3,6.86872981133359
180,1,-20.5346749523184,6.96872981133359,10.3,6.96872981133359
181,1,-20.5346749523184,7.06872981133359,10.3,7.06872981133359
182,1,-20.5346749523184,7.16872981133359,10.3,7.16872981133359
183,1,-20.5346749523184,7.26872981133359,10.3,7.26872981133359
184,1,-20.5346749523184,7.36872981133359,10.3,7.36872981133359
185,1,-20.5346749523184,7.46872981133359,10.3,7.46872981133359
186,1,-20.5346749523184,7.56872981133359,10.3,7.56872981133359
187,1,-20.5346749523184,7.66872981133359,10.3,7.66872981133359
188,1,-20.5346749523184,7.76872981133359,10.3,7.76872981133359
189,1,-20.5346749523184,7.86872981133359,10.3,7.86872981133359
190,1,-20.5346749523184,7.96872981133359,10.3,7.96872981133359
191,1,-20.5346749523184,8.06872981133359,10.3,8.06872981133359
192,1,-20.5346749523184,8.16872981133359,10.3,8.16872981133359
193,1,-20.5346749523184,8.26872981133359,10.3,8.26872981133359
194,1,-20.5346749523184,8.36872981133359,10.3,8.36872981133359
195,1,-20.5346749523184,8.46872981133359,10.3,8.46872981133359
196,1,-20.5346749523184,8.56872981133359,10.3,8.56872981133359
197,1,-20.5346749523184,8.66872981133359,10.3,8.66872981133359
198,1,-20.5346749523184,8.76872981133359,10.3,8.76872981133359
199,1,-20.5346749523184,8.86872981133359,10.3,8.86872981133359
200,1,-20.5346749523184,8.96872981133359,10.3,8.96872981133359
201,1,-20.5346749523184,9.06872981133359,10.3,9.06872981133359
202,1,-20.5346749523184,9.16872981133359,10.3,9.16872981133359
203,1,-20.5346749523184,9.26872981133359,10.3,9.26872981133359
204,1,-20.5346749523184,9.36872981133359,10.3,9.36872981133359
205,1,-20.5346749523184,9.46872981133359,10.3,9.46872981133359
206,1,-20.5346749523184,9.56872981133359,10.3,9.56872981133359
207,1,-20.5346749523184,9.66872981133359,10.3,9.66872981133359
208,1,-20.5346749523184,9.76872981133359,10.3,9.76872981133359
209,1,-20.5346749523184,9.86872981133359,10.3,9.86872981133359
210,1,-20.5346749523184,9.96872981133359,10.3,9.96872981133359
211,1,-20.5346749523184,10.0687298113336,10.3,10.0687298113336
212,1,-20.5346749523184,10.1687298113336,10.3,10.1687298113336
213,1,-20.5346749523184,10.2687298113336,10.3,10.2687298113336
214,1,-20.5346749523184,10.3687298113336,10.3,10.3687298113336
215,1,-20.5346749523184,10.4687298113336,10.3,10.4687298113336
216,1,-20.5346749523184,10.5687298113336,10.3,10.5687298113336
217,1,-20.5346749523184,10.6687298113336,10.3,10.6687298113336
218,1,-20.5346749523184,10.7687298113336,10.3,10.7687298113336
219,1,-20.5346749523184,10.8687298113336,10.3,10.8687298113336
220,1,-20.5346749523184,10.9687298113336,10.3,10.9687298113336
221,1,-20.5346749523184,11.0687298113336,10.3,11.0687298113336
222,1,-20.5346749523184,11.1687298113336,10.3,11.1687298113336
223,1,-20.5346749523184,11.2687298113336,10.3,11.2687298113336
224,1,-20.5346749523184,11.3687298113336,10.3,11.3687298113336
225,1,-20.5346749523184,11.4687298113336,10.3,11.4687298113336
226,1,-20.5346749523184,11.5687298113336,10.3,11.5687298113336
227,1,-20.5346749523184,11.6687298113336,10.3,11.6687298113336
228,1,-20.5346749523184,11.7687298113336,10.3,11.7687298113336
229,1,-20.5346749523184,11.8687298113336,10.3,11.8687298113336
230,1,-20.5346749523184,11.9687298113336,10.3,11.9687298113336
231,1,-20.5346749523184,12.0687298113336,10.3,12.0687298113336
232,1,-20.5346749523184,12.1687298113336,10.3,12.1687298113336
233,1,-20.5346749523184,12.2687298113336,10.3,12.2687298113336
234,1,-20.5346749523184,12.3687298113336,10.3,12.3687298113336
235,1,-20.5346749523184,12.4687298113336,10.3,12.4687298113336
236,1,-20.5346749523184,12.5687298113336,10.3,12.5687298113336
237,1,-20.5346749523184,12.6687298113336,10.3,12.6687298113336
238,1,-20.5346749523184,12.7687298113336,10.3,12.7687298113336
239,1,-20.5346749523184,12.8687298113336,10.3,12.8687298113336
240,1,-20.5346749523184,12.9687298113336,10.3,12.9687298113336
